feature_group,feature_name,classifier,n_episodes,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,masking_ratio,masking_label,support_per_class,source_dir,method_id,method_label
direct_binned,bins1024_auc,logreg_C0p1,100,0.3240298507462686,0.0687754202960431,0.2905684830784313,0.053663859834834,0.3232561210861648,0.3063374042145594,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.3217164179104477,0.065229993562337,0.2828215955699601,0.0491438055771978,0.3101167040069663,0.2987531928480204,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3147014925373134,0.0638630862208918,0.276994571391522,0.0481711350090945,0.3095553821233061,0.2967548690932312,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.3247014925373134,0.0695425826156353,0.290980096523039,0.0542819707194815,0.3230251091282485,0.3071116698595146,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.3233582089552239,0.0654552081573092,0.284470596030162,0.0490101700050465,0.3123219535605864,0.300246248403576,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3126865671641791,0.0644369843133762,0.2749116005648649,0.0493010981338894,0.308331671264906,0.2953583971902938,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.3396268656716417,0.0712131553249834,0.2976821231339281,0.0500744797744783,0.3273155501161515,0.3143718071519796,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.3433582089552239,0.0700182175719083,0.2987287217971575,0.0488135397149213,0.3238336307368352,0.315764687100894,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.3195522388059701,0.0578774962554022,0.2760022754106899,0.0412696353462033,0.3049739420073523,0.2945114942528735,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.3651492537313432,0.0755874778873968,0.3153093732255094,0.0576968084239078,0.3447349421089777,0.3291079980842912,0.2,20%,2,fewshot_support_sweep_MTBLS563/mask_0.20/support_2,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.3774603174603175,0.057256758553288,0.3326880666340494,0.0406061837582364,0.3548060588014692,0.3397391737891738,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.3713492063492063,0.0572898075748498,0.3215870934257047,0.044811492155134,0.3413361446655995,0.3303600556850556,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3368253968253968,0.0582701064025732,0.3012816613184157,0.0471391687828533,0.3316755165513728,0.3134012367262367,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.3792063492063491,0.0576913709377341,0.3336478221148436,0.04170764609841,0.3544729779535596,0.3408459919709919,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.3725396825396825,0.0589809568175445,0.3231866262078041,0.0468082035364236,0.3443821557207906,0.3315953574203574,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3374603174603174,0.0579872762688941,0.302868003134063,0.0480965330579693,0.3330195178628755,0.3139198717948718,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.3878571428571428,0.0543766788995609,0.3336465119179312,0.0405664241142595,0.3505140299232392,0.3424302836052836,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.3861904761904762,0.0562013814331764,0.3302273236232237,0.0412612090835945,0.346453463231033,0.3395381377881378,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.3717460317460317,0.0576377479502509,0.3265182644625035,0.0449786715026875,0.3469896930211392,0.3348929487179486,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.3956349206349206,0.0610436088276498,0.3403994206245561,0.0472254683520706,0.3562683335667018,0.3486665371665371,0.2,20%,4,fewshot_support_sweep_MTBLS563/mask_0.20/support_4,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.4133898305084746,0.0610347802514088,0.3625390568185336,0.0514033998140694,0.3812593632966297,0.3699902173913043,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.3916949152542373,0.0556508255464452,0.3391651938668881,0.0461129985304638,0.3532591785050374,0.3480673913043478,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3610169491525423,0.0567022472316079,0.3193835346254956,0.0451014221772355,0.3416088545181945,0.3299695652173913,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.4111864406779661,0.0597482669667899,0.3606892062722199,0.0488101557275069,0.3803352116450799,0.3678184782608696,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.3941525423728814,0.0561428927787422,0.342523210273861,0.0471799058826247,0.3573228843096289,0.3516684782608695,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3656779661016949,0.0568220627833131,0.3226943386338234,0.0444032723463088,0.3439111702645722,0.3330173913043478,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.4177966101694915,0.0634465129124876,0.3565934687101391,0.046052890508932,0.372544167100196,0.3625510869565218,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.4124576271186441,0.0610047615707754,0.3473640546578266,0.0466853560065848,0.36072927636929,0.35405,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.4098305084745762,0.0689585416692942,0.3500866372288966,0.0528900439515379,0.3669366427948578,0.3588369565217391,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.4033898305084746,0.0692365489387935,0.3442728519542721,0.0542531985796736,0.3612970242519248,0.3499021739130434,0.2,20%,6,fewshot_support_sweep_MTBLS563/mask_0.20/support_6,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.4400909090909091,0.0521688391533928,0.3807729583674681,0.0436636999550741,0.3952529576573589,0.3880862879572118,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.4088181818181818,0.0550095803265832,0.3511602214064793,0.0446644565770415,0.3629980343776453,0.3589540200138026,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3745454545454545,0.0518623850900404,0.3252235904122486,0.0423070660460605,0.3451144359780004,0.3346574145962733,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.4377272727272727,0.05570207742237,0.3783381445529873,0.0486684424615944,0.3927917791571517,0.3849010093167702,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.409090909090909,0.0552298659391855,0.3519314856329864,0.0463742947189541,0.3636011862846759,0.3592503450655624,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3809090909090909,0.050268500213344,0.3297572784968074,0.0428572991189851,0.350249571501694,0.338768547273982,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.421090909090909,0.0559936313504998,0.3619568730358093,0.0463977438741673,0.3760150298330572,0.3662625086266391,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.4165454545454545,0.0608038096178637,0.3541706617127471,0.0517916228853854,0.365944470896841,0.3595625215665976,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.416,0.0564278789074143,0.3540235754823443,0.0440073452044109,0.3671504962683253,0.3598275750517598,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.4251818181818181,0.0526904497619654,0.3642057594278135,0.0455131609792873,0.3795936929045087,0.3691554520358868,0.2,20%,8,fewshot_support_sweep_MTBLS563/mask_0.20/support_8,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.4455882352941177,0.0596003209803782,0.3806996716542239,0.0508595849980027,0.3962059379854702,0.3907528161436199,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.4255882352941176,0.0597746926029908,0.3609160750547776,0.0485641555495043,0.3721500753099915,0.3694683890432603,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3875490196078431,0.0555547691391684,0.3295372712892845,0.0436416895372682,0.3484967741999872,0.33898724392503,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.4473529411764705,0.0628245035034833,0.3815497169382681,0.0537177847248809,0.3948763206112118,0.390231284733573,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.4240196078431372,0.0583824321397869,0.3566109292112895,0.0459933160338333,0.3671913656100345,0.3644540188787185,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3905882352941177,0.052726175959012,0.3334381187234987,0.0431845533758427,0.3514184002871223,0.3427808141277106,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.4448039215686274,0.0510027641086834,0.37122299431936,0.0413839587384703,0.3844995916767974,0.3756917599705786,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.4372549019607843,0.0483716333392058,0.3629458658240188,0.0397454212318865,0.3729527759434803,0.3688666809687262,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.4358823529411764,0.0610336124201714,0.3610232535592225,0.0475366109888874,0.3766596877943062,0.3678963202844066,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.4318627450980392,0.0565064028668068,0.3631110629918704,0.0447235011278764,0.3770184998156099,0.3688782247738912,0.2,20%,10,fewshot_support_sweep_MTBLS563/mask_0.20/support_10,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.2815217391304347,0.0736858953367409,0.2440972424646256,0.0579193351891683,0.2876879177560696,0.2782584415584415,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.2689130434782608,0.067207197797833,0.2331822283582775,0.0555088412372743,0.2743440778166282,0.268376948051948,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.2816666666666667,0.0729282071508243,0.2442997321814911,0.0578795765654313,0.2882827314715387,0.278512987012987,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.2700724637681159,0.0672384431258539,0.234018893228856,0.05584629206909,0.2744376914511795,0.2692805194805194,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.2968115942028985,0.0777388970377717,0.2595009159564991,0.0653091960404577,0.296343751598251,0.2895356060606061,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.2909420289855072,0.0745304398889163,0.2577162827391527,0.0640120883396703,0.2947320496168809,0.2877530303030303,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.2675362318840579,0.0953400282482722,0.1034103145016388,0.0285255828411044,0.0668840579710144,0.25,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.2844202898550724,0.0672504324265804,0.2423337698102301,0.0599149134139188,0.2854396277840276,0.2804824675324675,0.3,30%,1,fewshot_support_sweep_MTBLS563/mask_0.30/support_1,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.3240298507462686,0.0687754202960431,0.2905684830784313,0.053663859834834,0.3232561210861648,0.3063374042145594,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.3217164179104477,0.065229993562337,0.2828215955699601,0.0491438055771978,0.3101167040069663,0.2987531928480204,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3147014925373134,0.0638630862208918,0.276994571391522,0.0481711350090945,0.3095553821233061,0.2967548690932312,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.3247014925373134,0.0695425826156353,0.290980096523039,0.0542819707194815,0.3230251091282485,0.3071116698595146,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.3233582089552239,0.0654552081573092,0.284470596030162,0.0490101700050465,0.3123219535605864,0.300246248403576,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3126865671641791,0.0644369843133762,0.2749116005648649,0.0493010981338894,0.308331671264906,0.2953583971902938,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
foundation_backbone,mae_flatten,logreg_C0p1,100,0.3314925373134328,0.0749816682553524,0.292326219672971,0.0546358738207834,0.3214577198978483,0.3089307950191571,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,foundation_backbone|mae_flatten|logreg_C0p1,MAE embeddings + LOGREG_C0P1
foundation_backbone,mae_flatten,svm_C1p0,100,0.3398507462686567,0.0733757633432125,0.29789952424356,0.0535315119331045,0.3237213538160398,0.3139671136653895,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,foundation_backbone|mae_flatten|svm_C1p0,MAE embeddings + SVM_C1P0
foundation_backbone,mae_flatten,xgboost_depth2,100,0.3104477611940298,0.0609879487655107,0.2727121826972504,0.0478001467049259,0.3053124354854978,0.2912448116219668,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,foundation_backbone|mae_flatten|xgboost_depth2,MAE embeddings + XGBOOST_DEPTH2
prototype_head,mae_embeddings,prototype_mahalanobis_support_anova,100,0.3678358208955224,0.0765271034922729,0.3198438911335551,0.0590174001573798,0.348845273053149,0.3338258301404853,0.3,30%,2,fewshot_support_sweep_MTBLS563/mask_0.30/support_2,prototype_head|mae_embeddings|prototype_mahalanobis_support_anova,MAE prototype head
direct_binned,bins1024_auc,logreg_C0p1,100,0.3774603174603175,0.057256758553288,0.3326880666340494,0.0406061837582364,0.3548060588014692,0.3397391737891738,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins1024_auc|logreg_C0p1,Direct 1024 AUC + LOGREG_C0P1
direct_binned,bins1024_auc,svm_C1p0,100,0.3713492063492063,0.0572898075748498,0.3215870934257047,0.044811492155134,0.3413361446655995,0.3303600556850556,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins1024_auc|svm_C1p0,Direct 1024 AUC + SVM_C1P0
direct_binned,bins1024_auc,xgboost_depth2,100,0.3368253968253968,0.0582701064025732,0.3012816613184157,0.0471391687828533,0.3316755165513728,0.3134012367262367,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins1024_auc|xgboost_depth2,Direct 1024 AUC + XGBOOST_DEPTH2
direct_binned,bins2048_auc,logreg_C0p1,100,0.3792063492063491,0.0576913709377341,0.3336478221148436,0.04170764609841,0.3544729779535596,0.3408459919709919,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins2048_auc|logreg_C0p1,Direct 2048 AUC + LOGREG_C0P1
direct_binned,bins2048_auc,svm_C1p0,100,0.3725396825396825,0.0589809568175445,0.3231866262078041,0.0468082035364236,0.3443821557207906,0.3315953574203574,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins2048_auc|svm_C1p0,Direct 2048 AUC + SVM_C1P0
direct_binned,bins2048_auc,xgboost_depth2,100,0.3374603174603174,0.0579872762688941,0.302868003134063,0.0480965330579693,0.3330195178628755,0.3139198717948718,0.3,30%,4,fewshot_support_sweep_MTBLS563/mask_0.30/support_4,direct_binned|bins2048_auc|xgboost_depth2,Direct 2048 AUC + XGBOOST_DEPTH2
